cbo_name,activities,City,HTC,Language
Orange County United Way,"booths, event",Santa Ana,,"Spanish, Vietnamese, Other"
Project Access,"Food Bank Distribution, phone calls to residents",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Spanish, Other"
"Southland Integrated Services, Inc",Outreach to Vietnamese Alliance Church in Santa Ana,Santa Ana,"Born Outside of U.S., Limited English Speaking Ability",Vietnamese
The Cambodian Family,"advertising, Social Media Post, booths, canvassing, Class, Food Drive, form_filling_assistance, phone_banking, Stigma Arts Class, webinar, social_media",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability","Khmer, Spanish, Vietnamese"
The LGBTQ Center OC,"Outreach event, Hosted an online zoom meeting, Hosted a zoom hangout where we went ahead and caught with some members of our community, while at the same time updating them about the Census, Called members of our phone list to check in with them during this COVID-19 situation while at the same time seeing if they had completed the census yet.",Santa Ana,"Born Outside of U.S., Limited English Speaking Ability",Spanish
"Southland Integrated Services, Inc.",distributing census flyers at community food distribution event (Stanton),Stanton,"Born Outside of U.S., Limited English Speaking Ability",Vietnamese
CAP OC,collateral,Tustin,Children Under 5,Spanish
OC Human Relations,"Posters at Station Liquor & Deli, T-shirts and bags distribution. Door hungers, Door hungers and flyers in Casa Cortez Apartments and neighborhood areas",Tustin,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability",Spanish
AASCSC,nudgealert,Westminster,"Born Outside of U.S., Limited English Speaking Ability","Cantonese, Chinese, Mandarin, Other"
Access California Services,"Friday Prayer, Family resource fair",Westminster,,
California Healthy Nail Salon Collaborative,event,Westminster,"Born Outside of U.S., Limited English Speaking Ability",Vietnamese
CAP OC,presentation,Westminster,"Children Under 5, Limited English Speaking Ability",
MOMS Orange County,education_forum,Westminster,,"Spanish, Vietnamese"
OCAPICA,press conference,Westminster,Born Outside of U.S.,
Orange County United Way,event,Westminster,"Born Outside of U.S., Children Under 5, Limited English Speaking Ability","Farsi, russian, Spanish, Vietnamese, Other"
"Southland Integrated Services, Inc. ",food distribution at community center,Westminster,"Born Outside of U.S., Limited English Speaking Ability",Vietnamese
VietRISE,"flyers, phone_banking, Vietnamese Student Association Census Webinar",Westminster,,Vietnamese
