GEOID,Totals
220710075012,665.0
220710017221,298.0
220710014021,574.0
220710025022,897.0
220710056041,418.0
220710006041,1564.0
220710019003,457.0
220710102004,778.0
220710008001,392.0
220710013012,408.0
220710017483,1042.0
220710036002,487.0
220710096002,461.0
220710008002,634.0
220710007013,334.0
220710128003,771.0
220710082002,518.0
220710025023,496.0
220710048001,389.0
220710130003,500.0
220710064004,526.0
220710020003,340.0
220710022002,759.0
220710108002,970.0
220710001003,464.0
220710002002,582.0
220710003001,629.0
220710003002,732.0
220710004001,1127.0
220710128002,837.0
220710129001,697.0
220710130001,510.0
220710001001,948.0
220710001002,1172.0
220710020001,458.0
220710099003,963.0
220710136002,634.0
220710006021,832.0
220710029001,539.0
220710138001,1346.0
220710037024,900.0
220710135003,654.0
220710056021,689.0
220710078001,1224.0
220710083002,676.0
220710094002,233.0
220710103003,1449.0
220710115002,787.0
220710044022,383.0
220710056013,508.0
220710056014,463.0
220710056022,804.0
220710102003,422.0
220710102005,427.0
220710103002,985.0
220710144001,352.0
220710144002,593.0
220710106001,942.0
220710006162,1606.0
220710017511,725.0
220710017341,854.0
220710011003,0.0
220710137004,843.0
220710123001,463.0
220710009014,374.0
220710108001,503.0
220710006071,751.0
220710033012,592.0
220710107001,794.0
220710036001,501.0
220710144003,697.0
220710017482,1495.0
220710046001,532.0
220710124002,1160.0
220710125001,630.0
220710125002,1180.0
220710126001,568.0
220710127002,1029.0
220710127003,426.0
220710129002,616.0
220710130002,558.0
220710131001,325.0
220710132001,736.0
220710132002,801.0
220710006152,2860.0
220710065001,1091.0
220710041002,719.0
220710077001,753.0
220710071012,1268.0
